Job Title,Company,Company Rating,Job Snippet,Location,Salary
newStaff Business Data Analyst,Intuit,4.2,"
Experience in modeling or business application/evaluation of machine learning.
Uses considerable expertise and independent judgment in collaborating with peers,…
","Mountain View, CA 94043+2 locations",N/A
Data Engineer,Biofire Technologies,N/A,"
Our headquarters is optimized for full product cycle development, with an electronic clean room, model shop, machine shop, and 3D printer lab.
","Broomfield, CO","$120,000 - $150,000 a year"
Machine Learning Engineer,Salesforce,4.3,"
We are looking for machine learning engineers who are passionate about building scalable production machine learning applications.
",Hawaii+63 locations,Full-time
Machine Learning Researcher,Reconess,N/A,"
Hands-on experience in Cloud base machine learning – advantage.
Research track record with peer-reviewed publications in academic conferences and journals in…
","Cincinnati, OH",N/A
Data Scientist - Algorithm Engineer,Zynex Medical,3.8,"
Familiarity with classical machine learning techniques as well as neural network models.
Confer with customers, marketing, management, engineers, researchers,…
","Remote in Englewood, CO+1 location","$90,000 - $150,000 a year"
AI/ML Research Engineer (Remote),Pryon Incorporated,N/A,"
Industry or research experience in data analytics, machine learning, and software development.
Experience with one or more of TensorFlow, PyTorch, Theano, or…
",Remote in Massachusetts+1 location,N/A
Artificial Intelligence and Machine Learning Engineer,Booz Allen Hamilton,3.9,"
Work with multi-disciplinary teams to research and develop algorithms for scene perception and computer vision.
Ability to obtain a security clearance.
","Adelphi, MD+8 locations",N/A
Staff Machine Learning Engineer,Alldus,N/A,"
4+ years of applied machine learning experience.
Demonstrated experience deploying machine learning models into production.
1+ years of startup experience.
","San Francisco, CA+3 locations",N/A
Data Scientist/ML Ops Engineer,"Hottinger, Bruel & Kjaer",N/A,"
Deploy infrastructure for machine learning methods in a customer environment jointly with engineers, data scientists, and developers.
","Remote in Southfield, MI",Full-time
Machine Learning Engineer/Data Scientist,University of California San Francisco,4.1,"
Advanced knowledge of Data science/machine learning / deep learning / HPC.
In-depth skills and experience in independently resolving complex computing/data…
","San Francisco, CA 94143 (Inner Sunset area)",Full-time
Machine Learning Research Scientist,Duolingo,4.2,"
We are looking for an experienced AI/ML scientist with a track record of delivering products and features based on your work.
","Pittsburgh, PA",N/A
Sr. Machine Learning Engineer,Rubrik Job Board,N/A,"
Increase the team's machine learning productivity as well as increase the machine learning team's productivity.
","Palo Alto, CA",N/A
NRCA Contract Deep Learning Engineer,Nikon Research Corporation of America/NRCA,3.9,"
Develop deep learning algorithms in support of Nikon products and applications.
Compress, quantize and optimize the architecture of the deep learning network.
","Remote in Belmont, CA",$50 - $60 an hour
Machine Learning Engineer,Houzz,3.2,"
Work on backend systems to ease machine learning model deployment, serving latency reduction etc.
Ship impactful projects like same session real time…
","Palo Alto, CA",Full-time
Data Scientist - Machine Learning,99,3.5,"
2+ years of industry experience in machine learning, data mining and/or decision science.
Familiarity with metrics, business models and machine learning…
","Mountain View, CA+2 locations",N/A
Senior Data Scientist,Nauto,N/A,"
Practical experience with data science and machine learning methods, common cloud-based data analysis tools and frameworks Spark, SQL, Pandas, AWS, PySpark, etc…
","Palo Alto, CA+1 location",N/A
newUser Researcher 2,Microsoft,4.2,"
We are looking for an experienced User Researcher who’s highly skilled in creating user journeys and working with multiple types of users, including Developers…
","Remote in Redmond, WA+2 locations",Full-time
newData Engineer,CBOE,3.8,"
Building tools for conducting advanced analytics, including machine learning over large, complex data sources.
Willingness to code in both C++ and Python.
","Chicago, IL 60605 (The Loop area)",Full-time
"Researcher – Privacy, Security, and Decentralized Learning -...",Microsoft,4.2,"
In addition, we are on the forefront of the development of privacy mitigations such as large-scale differentially private ML, secure multi-party data…
","Redmond, WA 98052 (Overlake area)",Full-time
Engineer - Machine Learning,"Quaychain Technologies, Inc",N/A,"
We are looking for a highly capable machine learning engineer to optimize our machine learning systems.
A first-class machine learning engineer will be someone…
",Remote,Full-time
AI/ML Research Engineer (Remote),Pryon Incorporated,N/A,"
Industry or research experience in data analytics, machine learning, and software development.
Experience with one or more of TensorFlow, PyTorch, Theano, or…
",Remote in Massachusetts+1 location,N/A
Algorithm Engineer,ByteDance,4.1,"
3、Master one of several mainstream machine learning development framework such as TensorFlow, PyTorch, MXNet.
4、Strong programming skills, master one or several…
","Mountain View, CA+4 locations",N/A
"Staff Data Scientist,Search Guidance, Machine Learning, Sear...",Wayfair,3.0,"
Develop quantitative models, leveraging machine learning and advanced data analysis techniques.
Machine Learning experience (such as supervised/unsupervised…
","Boston, MA+52 locations",N/A
Machine Learning Ops Engineer,Capgemini,3.8,"
Bring your deep expertise in cloud architecture / DevOps to analyze and recommend enterprise-grade solutions for operationalizing AI / ML analytics.
","Malvern, PA",Contract
Data Engineer,Reonomy,N/A,"
Architect the integration of new data sources & machine learning models to data pipeline.
Collaborate with back-end and front-end engineers to design, build and…
",Remote,Full-time
Data Engineer,League Inc,N/A,"
Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.
","Remote in Boston, MA+1 location",N/A
Data Engineer,Capital One - US,3.9,"
3+ years of experience in machine learning.
Partner with a cross-functional team of data scientists, software engineers, product managers, and learning…
","Richmond, VA+126 locations",Full-time
Software Engineer,Casetext,N/A,"
Work as an active member of a small engineering team to build and support our SaaS products.
Design, test, and develop the software to meet user needs.
",+2 locationsRemote,Full-time
newMachine Learning Engineer,Northwestern Memorial Healthcare,3.9,"
At Northwestern Medicine, we pride ourselves on providing competitive benefits: from tuition reimbursement and loan forgiveness to 401(k) matching and lifecycle…
","Chicago, IL 60611 (Streeterville area)+1 location",Full-time
Applied Machine Learning - Postdoctoral Researcher,Lawrence Livermore National Laboratory,4.2,"
Fundamental knowledge of and/or experience developing and applying algorithms in one or more of the following Machine Learning areas/tasks: deep learning,…
","Livermore, CA 94550+12 locations",Full-time
Quantitative Engineer - AIMS Strats,Goldman Sachs,4.0,"
Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…
","Salt Lake City, UT 84101 (Downtown area)+9 locations",Full-time
newResearch Operations Engineer,"Sonos, Inc",3.9,"
A passionate, curious problem solver who equally enjoys learning brand new skills to tackle a novel problem, and utilizing their existing domain expertise.
","Boston, MA 02110 (Downtown Crossing area)+1 location",Full-time
Machine Learning Operations (MLOps) Engineer,The MITRE Corporation,3.9,"
Maintain knowledge of advances of AI and scalable computing in industry and academia.
Evaluate AI architecture solutions and compare to sponsor requirements and…
","McLean, VA+1 location",Full-time
newDetection Engineer - REMOTE USA,McAfee Enterprise,N/A,"
Experience designing and developing data analytics and machine learning models.
Define and deliver innovative solutions for detecting attacks using machine…
","Remote in Olympia, WA+1 location","$110,000 a year"
"Research Engineer, Computational Biomechanics","Alphatec Spine, Inc.",3.3,"
Experience with other tools relevant to patient-specific modeling (e.g., machine learning, statistical shape modeling) is desired.
","Carlsbad, CA 92008",Full-time
Staff Computer Vision Engineer,Dolby,4.0,"
As Staff Computer Vision Engineer, you will work on technology for real-time perception and 3D render engine for Dolby.io platform and have the opportunity to…
","Sunnyvale, CA 94085 (East Murphy area)+1 location",N/A
"Research Engineer, Computer Vision",ByteDance,4.1,"
Unsupervised and weakly-supervised image/video representation learning.
We focus on conducting cutting-edge research and development in the area of Computer…
","Seattle, WA+2 locations",N/A
newGroup Leader – Hazard Identification and Relationships – Mac...,The MITRE Corporation,3.9,"
The Hazard Identification and Relationships – Machine Learning Focus Group systematically applies artificial intelligence/machine learning techniques to…
","McLean, VA+3 locations",Full-time
Robotics Research Engineer,Vicarious,N/A,"
Strong mathematical background and familiarity with modern machine learning/AI.
Understanding the latest advances in robotics and AI and applying them to our…
","Union City, CA 94587+1 location",Full-time
Machine Learning Engineer,Nexient,3.3,"
Solid understanding of machine learning fundamentals.
Deep learning fundamentals (CNN, RNN, attention/memory, Autoregressive) and extensions (Transformer, LSTM,…
","Hybrid remote in Ann Arbor, MI+12 locations",Full-time
Machine Learning Engineer,Sift Media,N/A,"
Experience with machine learning frameworks such as Amazon ML.
Targeting is crucial, but the methods implemented must be performant enough to execute in real…
","Durham, NC",N/A
newSoftware Engineer,Microsoft,4.2,"
Computer vision, computational geometry or machine learning experience.
Update, maintain and build scene understanding samples.
","Redmond, WA 98052 (Overlake area)+19 locations",Full-time
Machine Learning Engineer,Salesforce,4.3,"
We are looking for machine learning engineers who are passionate about building scalable production machine learning applications.
","Boston, MA 02116 (Back Bay area)+63 locations",Full-time
newApplication Development - Machine Learning Engineer/AI Engin...,Apexon,N/A,"
Experience working with agile methodologies and cross-functional teams (Product Owners, Scrum Masters, Developers, Test Engineers).
","Richfield, MN 55423+2 locations",N/A
Machine Learning Process Engineer,Praescient Analytics,3.8,"
Develop visualizations and dashboards to demonstrate methodological choices, outcomes, and predictive capabilities of machine learning models.
","Washington, DC",N/A
Data Scientist (100% Remote),Denken Solutions Inc,4.8,"
Design machine learning model used to automate processes like forecasting and optimization processes.
Collaborate with different business and technology experts…
","Remote in Herndon, VA",N/A
newMachine Learning Engineer,LiveAction,N/A,"
The product line comprises containerized software packages for network traffic analysis (NTA) / network detection and remediation (NDR), and streaming machine…
","Bethesda, MD 20814",Full-time
newEarly Career Software Development Engineer in Test,"Sonos, Inc",3.9,"
The whole team is responsible for designing, developing, testing, delivering, and supporting our features.
Build and expand upon automated frameworks.
","Remote in Boston, MA",Full-time
Software Engineer,The Walt Disney Company (Corporate),4.1,"
Execute full software development life cycle (SDLC).
Develop flowcharts, layouts and documentation to identify requirements and solutions.
","Celebration, FL",Full-time
Healthcare Data Engineer (Remote),pulseData,N/A,"
You'll be cleaning and scrubbing medical record data and claims data to ensure it can be used in our data pipelines.
Bachelors Degree in a quantitative field.
","Remote in New York, NY",Full-time
Principal ML Applied Scientist,Microsoft,4.2,"
3+ years of industry machine learning experience.
Experience with machine learning frameworks such as TensorFlow or PyTorch.
","Bellevue, WA+10 locations",Full-time
Software Engineer - Data Engineer,Resonance AI,N/A,"
As a data engineer at Transform, you'll work on Transform’s core product, Metrics Query Language (MQL), a metrics framework for defining, efficiently computing,…
","San Francisco, CA+5 locations",Full-time
"newMachine Learning Engineer, Digital Health",AstraZeneca,4.1,"
Supporting individual therapeutic areas and study teams solve varied challenges using statistics, data sciences and machine learning.
","Gaithersburg, MD 20878",Full-time
Machine Learning Engineer,DAT,2.8,"
Two years experience as a data scientist, ML engineer, or a similar role.
Our team's products run the gamut of data science topics, from time series forecasting…
",Remote in Colorado,Full-time
"Software Engineer, Machine Learning, Planner/Behavior Predic...",Waymo,3.2,"
Frame the open-ended real-world problems into well-defined ML problems; develop and apply cutting-edge ML approaches (deep learning, reinforcement learning,…
","Mountain View, CA+3 locations",N/A
AI/ML Engineer,State Street,3.5,"
Interest to work on advanced machine learning concepts – neural networks, reinforcement learning etc.
Strong skills in 1 or more programming languages – Python…
","Boston, MA 02111 (Central area)",Full-time
Machine Learning Engineer,Cloudwick,3.5,"
Evaluate different algorithmic approaches to solve various machine learning and prediction use cases.
Develop highly scalable classifiers and tools leveraging…
","Newark, CA 94560",N/A
Quality Engineer - Data Scientist,Vitesco Technologies,3.6,"
Apply Industry 4.0 recognized analysis methods to gain novel insight from data (machine learning, artificial intelligence, etc.).
","Seguin, TX 78155",N/A
Software Engineer,IPVideo,N/A,"
IPVideo is currently seeking a Software Engineer to become part of a team which is responsible for supporting our suite of products including the HALO Smart…
","Bay Shore, NY",N/A
Data Scientist (remote),ViacomCBS,3.9,"
Experience implementing and deploying statistics and machine learning models.
Knowledge of a variety of machine learning techniques (clustering, regression,…
","Remote in New York, NY",Full-time
newData Scientist & Machine Learning,Voyager Therapeutics,4.0,"
Establish a strong foundation for machine learning capabilities and provide company-wide expertise.
Experience in implementing statistical learning methods or…
","Cambridge, MA",N/A
Research Scientist,InfoBeyond Technology,N/A,"
Experience must include research experience in networks, communications, machine learning, and theoretical background in probability and stochastic processes.
","Louisville, KY 40222","$79,000 - $84,000 a year"
Data Engineer,League Inc,N/A,"
Utilize a variety of distributed computing platforms and tools to build scalable ETL / machine learning pipelines to meet the team's objective.
","Remote in Boston, MA+1 location",N/A
Research Software Developer (Research Software Engineer - Ma...,Indiana University,4.2,"
You will be engaged in scholarly research and development (R&D) related to computer vision and machine learning for CNS operations.
","Bloomington, IN",Full-time
Data Engineer,Cleveland Guardians - Baseball Operations,N/A,"
Collaborate with R&D team to help resolve challenges with new or existing statistical/machine learning models, and move those models into production.
",Remote in Ohio,N/A
Machine Learning Scientist,"Genapsys, Inc.",3.0,"
As a machine learning engineer, you will join forces in the development of cutting-edge machine learning methods that solve key problems in the DNA sequencing,…
",Remote in California,"$100,000 - $175,000 a year"
"newPrincipal, Data Solutions",CoreLogic,3.3,"
Mentor other Data Solution Analysts , and partner with data scientists, data engineers, and quality engineers on the broader program team to execute on design,…
","San Diego, CA 92131 (Scripps Ranch area)",Full-time
"Software Engineer, University Graduate - 2022 Start",TikTok,3.5,"
Partner with PMs, designers, engineers from different teams on building backend support for mobile application.
","Seattle, WA+35 locations",N/A
Machine Learning Scientist - Remote,DISCO,N/A,"
Strong knowledge of theory and techniques in machine learning generally.
The successful candidate will have a wide knowledge of techniques and theory in machine…
",Remote in Texas,N/A
"Research Scientist, K. Lisa Yang Integrative Computational N...",MIT,4.2,"
Lisa Yang Integrative Computational Neuroscience (ICoN) Center, to pursue a creative, collaborative research program developing new statistical and machine…
","Cambridge, MA 02139 (MIT area)",Full-time
newJunior Data Scientist - BAM Elevate,Balyasny,4.1,"
Apply statistical and machine learning methods to analyze large, complex data sets.
Collaborate with other data scientists, data analysts, quantitative…
","New York, NY",Full-time
Data Scientist - Ad Tech,Shipt,3.4,"
Good understanding of the methodological foundations of deep learning, machine learning and statistics and how that understanding drives practical…
",Remote in Georgia,Full-time
Part-Time Student-Data Engineer-Intelligent Solutions Group-...,John Deere,4.0,"
Work with Computer Vision Machine Learning (CVML) engineers, Product Verification & Validations (PV&V) engineers, software engineers, and labelers to produce…
",Hybrid remote in Iowa,Part-time +1
Machine Learning/Computer Vision Software Lead,The AEgis Technologies Group,4.3,"
Familiar with both machine learning algorithms as well as deep learning methods.
Has the capacity to target machine learning or deep learning to GPU for real…
","Albuquerque, NM 87123",Full-time
Machine Learning Researcher,Lambda,4.4,"
Have knowledge of machine learning theory.
Bring machine learning insights to our sales engineers and customers in the forms of technical blogs, benchmarks, or…
",Remote,N/A
Research Engineer,Stanford University,4.2,"
The Mobilize Center, which provides innovative biomechanical modeling and machine learning tools to advance the study of human movement.
","Stanford, CA",Full-time
"newLead Machine Learning Engineer, Enterprise Analytics","Chick-fil-A, Inc.",3.9,"
Has prior experience productionizing statistical, machine learning, deep learning models, or other similar algorithms at scale in a Cloud environment.
","Atlanta, GA 30349",N/A
Machine Learning Operations Engineer,360Learning,N/A,"
Be making important contributions to our existing ML systems.
Be progressively integrating aspects of your vision for the ML platform.
","New York, NY",Full-time
Quality Engineer - Data Scientist,Vitesco Technologies,3.6,"
Apply Industry 4.0 recognized analysis methods to gain novel insight from data (machine learning, artificial intelligence, etc.).
","Seguin, TX 78155",N/A
Data Scientist Staff – AI/ML,Juniper Networks,4.1,"
Familiarity with Reinforcement Learning, Meta learning.
Strong experience with developing deep learning models using Tensorflow or PyTorch.
","Sunnyvale, CA 94089",N/A
newAI Software Development Engineer,Intel,4.1,"
Deep learning, machine learning or high performance compute (HPC) experience.
Workload analysis and performance debug to identify bottlenecks and drive…
","Santa Clara, CA 95052+12 locations",Full-time
Machine Learning Engineer,UnifyID,N/A,"
Strong foundational knowledge of mathematics, bonus if related to machine learning or signals processing.
Experience working with high volumes of data, ideally…
","Redwood City, CA",Full-time
Machine Learning Engineer,The Aerospace Corporation,3.9,"
Experience with and understanding of software engineering, machine learning, and statistics.
Software development skills in at least two different programming…
","Remote in El Segundo, CA+2 locations",Full-time
Video Research Engineer,聯發科技,N/A,"
Conduct R&D on new generation video coding technologies and advanced video processing algorithms including AI and machine learning etc.
","San Jose, CA",N/A
Data Scientist/ Machine Learning,Teledyne Controls,3.6,"
Experience with AWS computing and machine learning resources preferred.
Experience with specific computational domains, such as machine learning/artificial…
","Durham, NC",N/A
Quantitative Engineer - AIMS Strats,Goldman Sachs,4.0,"
Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…
","Salt Lake City, UT 84101 (Downtown area)+9 locations",Full-time
Research Scientist in Multimodal Machine Learning,TikTok,3.5,"
Enthusiasm for pushing the state-of-the-art in deep learning and multimodal machine learning.
Experience in multimodal machine learning across speech & audio,…
","Mountain View, CA 94041 (Old Mountain View area)+1 location",N/A
"Senior Machine Learning Engineer AUSTIN, TXTECHNOLOGY – SOFT...",Tonal,3.7,"
Experience with signal processing or machine learning algorithms.
Architect implementation of scalable AI and machine learning algorithms.
","Remote in Austin, TX+7 locations",Full-time
Machine Learning Engineer,Dana-Farber Cancer Institute,4.1,"
This is an applied ML (Machine Learning) role, and strong candidates would have knowledge of advanced methodologies in AI, including deep learning architectures…
","Remote in Boston, MA",Full-time
AI Model Development Engineer (remote),Mythic-AI,N/A,"
Adapt and optimize customers' deep learning models to Mythic's hardware.
Train and deploy neural networks for machine vision to showcase the strengths of mixed…
","Remote in San Francisco Bay Area, CA","$113,000 a year"
Senior Machine Learning Engineer,PepsiCo,3.8,"
Establish standards for writing clean, organized machine learning code to streamline machine learning workflow within the DSA team.
","San Francisco, CA (Financial District/South Beach area)",Full-time
Machine Learning Engineer,Cloudwick,3.5,"
Evaluate different algorithmic approaches to solve various machine learning and prediction use cases.
Develop highly scalable classifiers and tools leveraging…
","Newark, CA 94560",N/A
"Research Engineer III, Machine Learning & AI",Northeastern University,4.3,"
Candidate must be well versed in all aspects of deep learning and be willing to research, design, implement, and deploy deep learning models that advance the…
","Remote in San Jose, CA+4 locations",N/A
newAI/ML - Data Engineer - Siri and Language Technologies,Apple,4.2,"
Partner closely with machine learning engineers, data scientists, analysts, software engineers and researchers to build reliable, distributed data pipelines and…
","Austin, TX+5 locations",N/A
Machine Learning Engineer,Nexient,3.3,"
Solid understanding of machine learning fundamentals.
Deep learning fundamentals (CNN, RNN, attention/memory, Autoregressive) and extensions (Transformer, LSTM,…
","Hybrid remote in Ann Arbor, MI+12 locations",Full-time
Performance Engineer,Apple,4.2,"
Moving beyond just graphics, Metal 2 provides deep support for GPU-accelerated machine learning and offers improved developer tools that make it even easier to…
","Cupertino, CA+8 locations",N/A
Data Scientist & ML/AI Engineer - Remote,Teramind,N/A,"
5+ years of relevant work experience in a data scientist/data engineer/data analyst/statistical analysis role.
Lead end-to-end big-data ML projects.
",Remote,"$140,000 a year"
"Machine Learning Engineer (Remote, Latam)",Kubikware,N/A,"
3+ experience in training and implementing machine learning models.
Strong agile/scrum development experience.
","Remote in Aventura, FL",Full-time
Scientist,Patch Biosciences,N/A,"
Machine learning: deep learning in the context of sequencing data.
In general, experience with mammalian systems and expertise in gene expression is highly…
","Remote in New York, NY+3 locations",N/A
New Graduate Software Engineer,Credit Karma,3.3,"
You will strengthen technical skills through mentorship and guidance from experienced engineers.
Experience working with some of the following: web application…
","Charlotte, NC 28277 (Ballantyne East area)",N/A
Cloud Support Engineer I - Artificial Intelligence/Machine L...,"Amazon Web Services, Inc.",3.5,"
Intermediate to advanced expertise in Machine Learning experience: supervised learning (regression), supervised learning (classification).
","Dallas, TX+10 locations",Full-time
Machine Learning Engineer,UnifyID,N/A,"
Strong foundational knowledge of mathematics, bonus if related to machine learning or signals processing.
Experience working with high volumes of data, ideally…
","Redwood City, CA",Full-time
Artificial Intelligence Engineer,The MITRE Corporation,3.9,"
3+ years’ work experience in machine learning, deep learning, computer vision, statistics, and/or related fields.
Advanced degree in related field of study.
","McLean, VA",Full-time
new2022 Software Engineer Program - Full Time Opportunity,"JPMorgan Chase Bank, N.A.",3.9,"
Participate in our Force for Good program to develop real-life tech solutions for social good organizations while learning new skills and collaborating with our…
","New York, NY+42 locations",Full-time
Software Engineer in ML,Activeloop,N/A,"
Familiarity with Machine Learning frameworks (Tensorflow, Pytorch, XGBoost, etc.).
Strong Programming Skills (Python, C++, etc.).
","Menlo Park, CA 94025",N/A
Senior Machine Learning Scientist (Search),Overstock.com,3.4,"
Implement machine learning models in production using various in house and on cloud technologies available to the machine learning team.
",Utah+3 locations,Full-time
Quality Engineer - Data Analytics,Philips,4.0,"
Use innovative data analysis methodologies such as machine learning, natural language processing, computational statistics, and data mining to identify hidden…
","Hybrid remote in Bothell, WA",Full-time
"newSenior Software Engineer - Business Storefronts + Discovery,...",Cash App,3.6,"
The Cash App Businesses team is a ***new team*** in charge of inventing and building innovative products and experiences for connecting people + businesses.
","Remote in Seattle, WA+27 locations",Full-time
Machine Learning Researcher,Reconess,N/A,"
Hands-on experience in Cloud base machine learning – advantage.
Research track record with peer-reviewed publications in academic conferences and journals in…
","Cincinnati, OH",N/A
Research Engineer,Optiver,3.5,"
This infrastructure will facilitate an active machine learning pipeline for feature engineering, modelling, back-testing, and simulation.
","Austin, TX",Internship
Quantitative Engineer - AIMS Strats,Goldman Sachs,4.0,"
Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber…
","Salt Lake City, UT 84101 (Downtown area)+9 locations",Full-time
newAmazon Robotics - Software Development Engineer Co-op - July...,Amazon.com Services LLC,3.5,"
Develop design documentation and lead reviews with other engineers.
Amazon Robotics software facilitates user workflows, robotic control and machine to user…
","Westborough, MA 01581+36 locations",Full-time +1
Machine Learning Engineer,Upstart,3.5,"
Knowledge of machine learning and statistics.
Experience productionalizing, deploying, and training machine learning models.
Catered lunches + snacks & drinks.
",Remote in Texas+6 locations,N/A
"Staff Applied Scientist, Conversational Intelligence",Outreach,4.0,"
Experience working with machine learning algorithms for production systems (experience with natural language processing, information retrieval or dialog systems…
","Seattle, WA",Full-time
"Lead Software Engineering (LMTS), Tableau Augmented Analytic...",Salesforce,4.3,"
Building analytics software that is highly performant and reacts with low latency, even on huge datasets.
Working across the Tableau C++ code base to integrate…
","Boston, MA 02116 (Back Bay area)+16 locations","$150,200 a year"
Senior Software Development Engineer,Amazon.com Services LLC,3.5,"
Be responsible for architecture and development of software stack for hardware accelerators (including deep learning accelerator).
","Sunnyvale, CA+126 locations",Full-time
"Backend Engineer, Perception",Snapchat,3.6,"
Interest in applications of machine learning and computer vision technology.
Design, implement, and operate our most critical and scalable services that support…
","Los Angeles, CA 90291 (Venice area)+1 location",Full-time
Staff Software Engineer (Remote US),Mandiant,3.5,"
Enable machine learning pipelines to operate over malware data and metadata stores.
Work closely with security researchers, data scientists and data engineers…
","Remote in Jackson, MS+7 locations","$120,000 a year"
Principal ML Applied Scientist,Microsoft,4.2,"
3+ years of industry machine learning experience.
Experience with machine learning frameworks such as TensorFlow or PyTorch.
","Bellevue, WA+10 locations",Full-time
Machine Learning Engineer,DAT,2.8,"
Two years experience as a data scientist, ML engineer, or a similar role.
Our team's products run the gamut of data science topics, from time series forecasting…
",Remote in Colorado,Full-time
Research Software Developer (Research Software Engineer - Ma...,Indiana University,4.2,"
You will be engaged in scholarly research and development (R&D) related to computer vision and machine learning for CNS operations.
","Bloomington, IN",Full-time
"Senior Data Scientist, Machine Learning/Signal Processing",Roche,4.2,"
Very strong foundation in advanced signal processing and machine learning/deep learning concepts.
Develop scalable, custom signal processing, machine learning…
","Santa Clara, CA",Full-time
New Graduate Software Engineer,Credit Karma,3.3,"
You will strengthen technical skills through mentorship and guidance from experienced engineers.
Experience working with some of the following: web application…
","Charlotte, NC 28277 (Ballantyne East area)",N/A
AI Software Engineer,Approgence Inc.,N/A,"
Understanding of deep learning, machine learning frameworks such as TensorFlow and PyTorch.
Develop software for integrating machine learning and artificial…
","San Diego, CA",N/A
Machine Learning Scientist,Saks,4.0,"
Preferred: Experience with cloud computing and deep learning.
With close to $1B in annual revenue and $500M of new investment, we are looking for multiple data…
","New York, NY",Full-time
newStaff Software Engineer - Backend (US Remote),LeanTaaS,N/A,"
Collaborate with PM, Design and Data Science to understand and solve customer problems with elegant solutions.
Own and drive complex initiatives to completion.
","Remote in Santa Clara, CA",Full-time
"newSenior Software Engineer in Test, Machine Learning",Salesforce,4.3,"
In the Business Science team, we are building a new experience to bring enterprise scale machine learning modeling techniques into the hands of the data domain…
","Palo Alto, CA 94301 (Downtown North area)+2 locations",Full-time
Research Engineer,Stanford University,4.2,"
The Mobilize Center, which provides innovative biomechanical modeling and machine learning tools to advance the study of human movement.
","Stanford, CA",Full-time
Data Scientist– AI/ Machine Learning Engineer,Jacobs,3.9,"
Proficiency in machine learning techniques, such as clustering, decision tree learning, and artificial neural networks.
Use algorithms to mine data stores.
","Herndon, VA 20171",Full-time
New Graduate Software Engineer,Credit Karma,3.3,"
You will strengthen technical skills through mentorship and guidance from experienced engineers.
Experience working with some of the following: web application…
","Charlotte, NC 28277 (Ballantyne East area)",N/A
Scientist,Patch Biosciences,N/A,"
Machine learning: deep learning in the context of sequencing data.
In general, experience with mammalian systems and expertise in gene expression is highly…
","Remote in New York, NY+3 locations",N/A
Artificial Intelligence/Machine Learning Engineer,Vanguard,3.7,"
Our teams leverage enterprise-wide insights, deep expertise, and trusted advice so that across Vanguard leaders and crew drive faster, stronger, risk-informed…
","Malvern, PA+3 locations",N/A
Cloud Support Engineer I - Artificial Intelligence/Machine L...,"Amazon Web Services, Inc.",3.5,"
Intermediate to advanced expertise in Machine Learning experience: supervised learning (regression), supervised learning (classification).
","Dallas, TX+10 locations",Full-time
"Research Scientist, K. Lisa Yang Integrative Computational N...",MIT,4.2,"
Lisa Yang Integrative Computational Neuroscience (ICoN) Center, to pursue a creative, collaborative research program developing new statistical and machine…
","Cambridge, MA 02139 (MIT area)",Full-time
Senior Machine Learning Engineer,FightCamp,N/A,"
Develop feature processing for machine learning models.
Experience with signal processing or machine learning algorithms.
3-5 years of experience.
",Remote,Full-time
Research Scientist,Amazon.com Services LLC,3.5,"
Strong background in econometrics (e.g., forecasting, time series, panel data, and/or high dimensional problems), probability and statistics, machine learning,…
",+22 locationsRemote,Full-time
Machine Learning Engineer (REMOTE),The Hartford,3.6,"
1+ years direct experience working with machine learning lifecycle, environments, and platforms.
The Hartford seeks an energetic and passionate Data Engineer to…
","Remote in Frisco, TX+2 locations",Full-time
Engineer - Machine Learning,Demo160: Core Template TEMC,N/A,"
Run machine learning tests and experiments.
Develop machine learning applications according to requirements.
Familiarity with machine learning frameworks (like…
","Matawan, NJ 07747",N/A
Machine Learning Researcher,Reconess,N/A,"
Hands-on experience in Cloud base machine learning – advantage.
Research track record with peer-reviewed publications in academic conferences and journals in…
","Cincinnati, OH",N/A
newSoftware Engineer,MIT Lincoln Laboratory,4.2,"
Experience with artificial intelligence/machine learning techniques and the computational acceleration of both training and inference/prediction stages.
","Lexington, MA+2 locations",N/A
Software Engineer - Automation,Ameren,3.7,"
Evaluates existing and emerging machine learning technologies.
Performs validation of custom machine learning applications, provides input and feedback to…
","Collinsville, IL 62234",Full-time
Video Research Engineer,聯發科技,N/A,"
Conduct R&D on new generation video coding technologies and advanced video processing algorithms including AI and machine learning etc.
","San Jose, CA",N/A
Robotics Research Engineer,Vicarious,N/A,"
Strong mathematical background and familiarity with modern machine learning/AI.
As a robotics research engineer here, you will be involved in designing and…
","Union City, CA 94587+1 location",Full-time
"Software Engineer III, Machine Learning and Computer Vision",Google,4.3,"
2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, and/or natural language processing.
","Cambridge, MA (Kendall Square area)+39 locations",Full-time
Machine Learning DevOps Engineer,John Deere,4.0,"
Monitor and maintain machine learning models in production.
Develop APIs to integrate machine learning models into business applications.
","Remote in Johnston, IA",N/A
Machine Learning Engineer - QuantumBlack Labs,McKinsey & Company,4.3,"
Familiarity with the foundations of statistics and machine learning techniques.
Build real-world scalable machine learning pipelines and deploy them to…
","Atlanta, GA+1 location",N/A
